level_0,level_1,level_2,incorr4_data
12,0,22,1.6837183489642857e-07
12,0,23,-4.071481275065842e-08
12,0,24,1.0101505873083688e-06
12,1,0,1.959327521127872e-05
12,1,1,1.950621546674468e-05
12,1,2,1.7270578503449682e-05
12,1,3,1.5300835594361057e-05
12,1,4,1.4996690375215413e-05
12,1,5,1.556569355218773e-05
12,1,6,1.517418736385833e-05
12,1,7,1.3103743744697326e-05
12,1,8,1.1087006152274176e-05
12,1,9,1.1863398862596954e-05
12,1,10,1.6299507357917832e-05
12,1,11,2.1510717081065726e-05
12,1,12,2.2613104711575126e-05
12,1,13,1.6639291673180333e-05
12,1,14,5.599028819901366e-06
12,1,15,-4.747922937704032e-06
12,1,16,-9.236019969942344e-06
12,1,17,-7.401000876832765e-06
12,1,18,-3.206912199440966e-06
12,1,19,-1.1826021540180167e-06
12,1,20,-2.350900320850224e-06
12,1,21,-4.0913910807224515e-06
12,1,22,-3.30038970248423e-06
12,1,23,9.664568240936463e-08
12,1,24,3.2102558658123883e-06
13,0,0,-7.118812951952923e-07
13,0,1,-8.59648857007857e-07
13,0,2,-1.8680989620469817e-07
13,0,3,1.0653633739411027e-06
13,0,4,1.9735675162655113e-06
13,0,5,1.5659363504312758e-06
13,0,6,-2.7480962626439655e-07
13,0,7,-2.6317408293093114e-06
13,0,8,-4.051513739232178e-06
13,0,9,-3.6280155285943743e-06
13,0,10,-1.5482130269137286e-06
13,0,11,1.0604522843772884e-06
13,0,12,3.0853796948130004e-06
13,0,13,4.123276874048104e-06
13,0,14,4.639698159750709e-06
13,0,15,5.234711794187676e-06
13,0,16,6.080136244797314e-06
13,0,17,6.736427995174049e-06
13,0,18,6.768426202046515e-06
13,0,19,6.196776759250487e-06
13,0,20,5.607939685324238e-06
13,0,21,5.470875193745831e-06
13,0,22,5.7257549031517255e-06
13,0,23,5.743345986137664e-06
13,0,24,5.104676969162962e-06
13,1,0,1.146034863974487e-05
13,1,1,9.98413685336354e-06
13,1,2,9.298970828562538e-06
13,1,3,8.81778918889782e-06
13,1,4,7.064459455927228e-06
13,1,5,3.495171456292963e-06
13,1,6,-7.841829873068981e-07
13,1,7,-3.611926203282381e-06
13,1,8,-3.301370501585237e-06
13,1,9,3.4783739074461457e-07
13,1,10,5.801893435144139e-06
13,1,11,1.0676933902624007e-05
13,1,12,1.2901310593747503e-05
13,1,13,1.1908929623237691e-05
13,1,14,8.820423085593402e-06
13,1,15,5.635351128448375e-06
13,1,16,3.524384790347103e-06
