level_0,level_1,level_2,correct_data
8,0,13,1.9862615159062518e-06
8,0,14,1.0653735602819144e-06
8,0,15,7.096936420817842e-07
8,0,16,1.1939311839899967e-06
8,0,17,1.9211573375980528e-06
8,0,18,2.0967478434187034e-06
8,0,19,1.5011602268668947e-06
8,0,20,6.850162310213871e-07
8,0,21,3.7064099258039453e-07
8,0,22,7.739941908595216e-07
8,0,23,1.4315344046319836e-06
8,0,24,1.7559207015156101e-06
8,1,0,-1.9135735341042058e-05
8,1,1,-2.3339262754589504e-05
8,1,2,-2.570106919036908e-05
8,1,3,-2.560850154583903e-05
8,1,4,-2.373316564339273e-05
8,1,5,-2.1859030273970663e-05
8,1,6,-2.1812910888350167e-05
8,1,7,-2.3919371953429604e-05
8,1,8,-2.653607556091361e-05
8,1,9,-2.7173696839976258e-05
8,1,10,-2.45411913075103e-05
8,1,11,-1.9631347387658016e-05
8,1,12,-1.494830234597701e-05
8,1,13,-1.2495905870976384e-05
8,1,14,-1.253475075406582e-05
8,1,15,-1.3841667011349154e-05
8,1,16,-1.4966039675713173e-05
8,1,17,-1.494742341028412e-05
8,1,18,-1.3309139665631793e-05
8,1,19,-9.848303453831796e-06
8,1,20,-5.158188364031736e-06
8,1,21,-1.1323201020349482e-06
8,1,22,-3.904036078860123e-07
8,1,23,-4.10101680899157e-06
8,1,24,-1.0232482752734536e-05
9,0,0,-1.3156132095491616e-06
9,0,1,-2.4857381874665715e-06
9,0,2,-3.5162077052605547e-06
9,0,3,-4.2015679981327494e-06
9,0,4,-4.112010053514652e-06
9,0,5,-2.9446279297597205e-06
9,0,6,-8.798895709479534e-07
9,0,7,1.4254260562249148e-06
9,0,8,3.2881817368193595e-06
9,0,9,4.440378391110388e-06
9,0,10,5.050077818614658e-06
9,0,11,5.316584508461273e-06
9,0,12,5.168202628443242e-06
9,0,13,4.3928452869043905e-06
9,0,14,3.1092477465262294e-06
9,0,15,1.941038346378238e-06
9,0,16,1.6375277726449482e-06
9,0,17,2.414576410556419e-06
9,0,18,3.7258891652936356e-06
9,0,19,4.682576833801557e-06
9,0,20,4.812320620517366e-06
9,0,21,4.38220820051183e-06
9,0,22,4.067604519735716e-06
9,0,23,4.260511259239334e-06
9,0,24,4.749275174446778e-06
9,1,0,-1.5189188387793964e-06
9,1,1,3.212941058009915e-06
9,1,2,7.652445606597818e-06
9,1,3,8.743365600140623e-06
9,1,4,6.446374123349771e-06
9,1,5,3.241383504343345e-06
9,1,6,1.646358238734986e-06
9,1,7,2.34373532148289e-06
9,1,8,4.29395629030494e-06
9,1,9,6.24419272053715e-06
9,1,10,7.763170403624628e-06
9,1,11,9.11853435299969e-06
9,1,12,1.0531344898977797e-05
9,1,13,1.1900306885740633e-05
9,1,14,1.3049374878210942e-05
9,1,15,1.3899237299233483e-05
9,1,16,1.4142295032531691e-05
9,1,17,1.3111889906963553e-05
9,1,18,1.0313795945859265e-05
9,1,19,6.378875063557177e-06
9,1,20,3.0805648297900674e-06
9,1,21,2.1393707675556017e-06
9,1,22,3.560015155314693e-06
9,1,23,5.35851003205046e-06
9,1,24,5.0825351384194205e-06
10,0,0,-4.855149454257814e-06
10,0,1,-4.350837181195052e-06
10,0,2,-4.745438198141763e-06
10,0,3,-5.5461449763861655e-06
10,0,4,-5.837876320263389e-06
10,0,5,-5.024236527167059e-06
10,0,6,-3.286296536173433e-06
10,0,7,-1.1676186833303875e-06
10,0,8,9.218813057524158e-07
10,0,9,3.0333073024828137e-06
10,0,10,5.280680567483313e-06
10,0,11,7.509320969832254e-06
10,0,12,9.16811854968769e-06
10,0,13,9.827701579540244e-06
10,0,14,9.482272576276547e-06
10,0,15,8.626983018388717e-06
10,0,16,7.708770250520038e-06
10,0,17,6.880645480789548e-06
10,0,18,5.8811195197961395e-06
10,0,19,4.495449751314889e-06
10,0,20,2.6606030984033355e-06
10,0,21,5.260990825441761e-07
10,0,22,-1.859496870079962e-06
10,0,23,-4.40496121170407e-06
10,0,24,-6.909170145445243e-06
10,1,0,-2.5983647015633384e-05
